ano,nivel,territorio,territorio_codigo,categoria,subcategoria,classe,preco,unidade
2007,Municipio,Abatiá,,Roxa,Mecanizada,,9091.0,R$/ha
2008,Municipio,Abatiá,,Roxa,Mecanizada,,10124.0,R$/ha
2009,Municipio,Abatiá,,Roxa,Mecanizada,,10331.0,R$/ha
2010,Municipio,Abatiá,,Roxa,Mecanizada,,10702.0,R$/ha
2011,Municipio,Abatiá,,Roxa,Mecanizada,,11652.0,R$/ha
2012,Municipio,Abatiá,,Roxa,Mecanizada,,12810.0,R$/ha
2013,Municipio,Abatiá,,Roxa,Mecanizada,,14256.0,R$/ha
2014,Municipio,Abatiá,,Roxa,Mecanizada,,15909.0,R$/ha
2015,Municipio,Abatiá,,Roxa,Mecanizada,,23553.0,R$/ha
2016,Municipio,Abatiá,,Roxa,Mecanizada,,25826.0,R$/ha
2007,Municipio,Abatiá,,Roxa,Não Mecanizável,,5000.0,R$/ha
2008,Municipio,Abatiá,,Roxa,Não Mecanizável,,5165.0,R$/ha
2009,Municipio,Abatiá,,Roxa,Não Mecanizável,,5207.0,R$/ha
2010,Municipio,Abatiá,,Roxa,Não Mecanizável,,5372.0,R$/ha
2011,Municipio,Abatiá,,Roxa,Não Mecanizável,,5578.0,R$/ha
2012,Municipio,Abatiá,,Roxa,Não Mecanizável,,5992.0,R$/ha
2013,Municipio,Abatiá,,Roxa,Não Mecanizável,,6612.0,R$/ha
2014,Municipio,Abatiá,,Roxa,Não Mecanizável,,7231.0,R$/ha
2015,Municipio,Abatiá,,Roxa,Não Mecanizável,,10330.0,R$/ha
2016,Municipio,Abatiá,,Roxa,Não Mecanizável,,11983.0,R$/ha
2007,Municipio,Abatiá,,Roxa,Inaproveitáveis,,910.0,R$/ha
2008,Municipio,Abatiá,,Roxa,Inaproveitáveis,,938.0,R$/ha
2009,Municipio,Abatiá,,Roxa,Inaproveitáveis,,940.0,R$/ha
2010,Municipio,Abatiá,,Roxa,Inaproveitáveis,,959.0,R$/ha
2011,Municipio,Abatiá,,Roxa,Inaproveitáveis,,1012.0,R$/ha
2012,Municipio,Abatiá,,Roxa,Inaproveitáveis,,1063.0,R$/ha
2013,Municipio,Abatiá,,Roxa,Inaproveitáveis,,1219.0,R$/ha
2014,Municipio,Abatiá,,Roxa,Inaproveitáveis,,1340.0,R$/ha
2015,Municipio,Abatiá,,Roxa,Inaproveitáveis,,1549.0,R$/ha
2016,Municipio,Abatiá,,Roxa,Inaproveitáveis,,1917.0,R$/ha
2007,Municipio,Adrianópolis,,Mista,Mecanizada,,1107.0,R$/ha
2008,Municipio,Adrianópolis,,Mista,Mecanizada,,2479.0,R$/ha
2009,Municipio,Adrianópolis,,Mista,Mecanizada,,3223.0,R$/ha
2010,Municipio,Adrianópolis,,Mista,Mecanizada,,3719.0,R$/ha
2011,Municipio,Adrianópolis,,Mista,Mecanizada,,3868.0,R$/ha
2012,Municipio,Adrianópolis,,Mista,Mecanizada,,4339.0,R$/ha
2013,Municipio,Adrianópolis,,Mista,Mecanizada,,4669.0,R$/ha
2014,Municipio,Adrianópolis,,Mista,Mecanizada,,5802.0,R$/ha
2015,Municipio,Adrianópolis,,Mista,Mecanizada,,9091.0,R$/ha
2016,Municipio,Adrianópolis,,Mista,Mecanizada,,10182.0,R$/ha
2007,Municipio,Adrianópolis,,Mista,Mecanizável,,1107.0,R$/ha
2008,Municipio,Adrianópolis,,Mista,Mecanizável,,1331.0,R$/ha
2009,Municipio,Adrianópolis,,Mista,Mecanizável,,2579.0,R$/ha
2010,Municipio,Adrianópolis,,Mista,Mecanizável,,3058.0,R$/ha
2011,Municipio,Adrianópolis,,Mista,Mecanizável,,3094.0,R$/ha
2012,Municipio,Adrianópolis,,Mista,Mecanizável,,3471.0,R$/ha
2013,Municipio,Adrianópolis,,Mista,Mecanizável,,3843.0,R$/ha
2014,Municipio,Adrianópolis,,Mista,Mecanizável,,4641.0,R$/ha
2015,Municipio,Adrianópolis,,Mista,Mecanizável,,7273.0,R$/ha
2016,Municipio,Adrianópolis,,Mista,Mecanizável,,8145.0,R$/ha
2007,Municipio,Adrianópolis,,Mista,Não Mecanizável,,322.0,R$/ha
2008,Municipio,Adrianópolis,,Mista,Não Mecanizável,,331.0,R$/ha
2009,Municipio,Adrianópolis,,Mista,Não Mecanizável,,455.0,R$/ha
2010,Municipio,Adrianópolis,,Mista,Não Mecanizável,,537.0,R$/ha
