"SECRETARIA DE EDEPARTAMENTO DDIVISÃO DE ESTATÍPREÇOS MÉDIOS DE TERRAS AGRÍCOLAS  detalh","TADO DA AGRICULTURA E DO ABASTECIMENTO - SEABECONOMIA RURAL  DERALTICAS BÁSICASmento por caracte?istica e município de 2007 a 2016 em Reais por hectare",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Munícipio,"Tipo deTerra",Classe / Grau,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,
Brasilândia do Sul,Roxa,Mecanizada,12.000,16.000,20.000,16.500,25.000,25.000,35.000,50.000,50.000,62.500
,,Mecanizável,10.500,14.000,18.500,15.000,22.500,,,,,
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,,,,,,,,,7.500,10.000
,,,,,,,,,,,,
,Mista,Mecanizada,9.000,14.000,16.500,14.500,20.000,20.000,28.000,40.000,40.000,50.000
,,Mecanizável,7.500,12.000,15.000,13.000,18.000,,,,,
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,,,,,,,,,,
,,,,,,,,,,,,
,Arenosa,Mecanizada,7.000,10.300,12.500,10.330,14.000,15.000,17.000,21.000,25.000,33.000
,,Mecanizável,6.000,8.000,11.000,9.000,12.000,12.500,15.300,,,
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,,,,,,,,,,
,,,,,,,,,,,,
Cafeara,Roxa,Mecanizada,8.000,8.500,8.755,8.755,11.000,11.660,11.780,24.500,27.680,32.000
,,Mecanizável,8.000,8.500,8.755,8.755,11.000,11.660,11.780,18.375,20.760,24.000
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,,,,,,,,,,
,,,,,,,,,,,,
,Mista,Mecanizada,6.200,7.400,7.620,7.620,9.550,10.120,10.220,19.600,22.144,26.000
,,Mecanizável,6.200,7.400,7.620,7.620,9.550,10.120,10.220,14.700,16.608,19.500
,,Não Mecanizável,,,,,,,,,,
,,Inaproveitáveis,,,,,,,,,,
,,,,,,,,,,,,
,Arenosa,Mecanizada,5.400,6.600,6.820,6.820,8.550,9.060,9.450,15.680,17.715,20.500
,,Mecanizável,5.400,6.600,6.820,6.820,8.550,9.060,9.150,11.760,13.286,15.000
,,Não Mecanizável,3.500,4.200,4.320,4.320,5.400,5.720,5.200,7.840,8.858,10.000
,,Inaproveitáveis,3.500,4.200,4.320,4.320,5.400,5.720,5.200,4.700,4.429,5.000
,,,,,,,,,,,,
Cafelândia,Roxa,Mecanizada,16.000,26.653,26.700,24.793,26.200,27.500,28.800,33.784,35.000,36.750
Mecanizável,13.600,21.322,21.400,19.834,20.820,21.861,22.700,26.332,27.253,28.615,,
Não Mecanizável,6.000,10.128,10.130,8.104,8.510,8.600,9.000,16.440,17.015,17.865,,
Inaproveitáveis,3.700,6.130,6.130,5.000,5.300,5.400,5.400,11.400,5.380,5.649,,
,,,,,,,,,,,,
