Unnamed: 0,Unnamed: 1,Mecanizada,15.000,18.500,18.500.1,20.350,30.000,33.000,36.500,44.000,48.400,58.000
,,Mecanizável,,,,,,,,,,
,Roxa,,,,,,,,,,,
,,Não Mecanizável,7.500,9.250,9.250,10.175,15.000,16.500,18.250,22.000,24.200,29.000
,,Inaproveitáveis,1.500,1.850,1.850,2.035,3.000,3.300,3.650,4.400,8.710,9.500
Maringá,,,,,,,,,,,,
,,Mecanizada,12.000,15.000,15.000,17.250,25.800,30.000,33.000,39.600,43.600,52.500
,,Mecanizável,,,,,,,,,,
,Mista,,,,,,,,,,,
,,Não Mecanizável,6.000,7.500,7.500,8.625,12.900,14.000,16.500,19.800,21.800,26.250
,,Inaproveitáveis,1.200,1.500,1.500,1.725,2.580,3.000,3.300,3.960,7.850,10.500
