Unnamed: 0,Unnamed: 1,Mecanizada,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.248,Unnamed: 10
,,Mecanizável,,,,,,,,,13.769,
,Mista,,,,,,,,,,,
,,Não Mecanizável,,,,,,,,,9.112,
,,Inaproveitáveis,,,,,,,,,3.640,9.000
Tapejara,,,,,,,,,,,,
,,Mecanizada,6.200,7.000,7.500,8.264,9.504,12.397,16.529,20.661,17.562,20.000
,,Mecanizável,5.000,6.000,6.000,6.000,6.000,8.264,13.388,15.496,13.171,
,Arenosa,,,,,,,,,,,
,,Não Mecanizável,,,,,,,7.769,9.711,8.254,
,,Inaproveitáveis,,,,,,,,,,
