Município,A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
32.600,27.400,21.400,11.400,7.400,,,
35.900,30.400,23.400,22.000,16.300,,,
36.200,31.100,24.700,22.700,17.300,,,
43.200,33.300,24.400,16.100,11.600,,,
49.700,36.600,27.800,24.700,17.900,,,
61.800,47.800,35.500,21.900,15.700,,,
38.800,33.600,26.600,13.800,10.400,,,
40.900,33.500,24.200,,15.200,,,
37.100,32.500,27.800,18.500,,,,
60.100,44.500,31.600,22.700,18.400,,,
39.200,32.000,24.500,16.000,9.600,,,
49.800,39.500,31.200,21.100,18.400,,,
46.100,38.600,31.500,16.600,12.200,,,
,21.900,16.800,,6.000,,,
35.800,29.600,23.100,22.800,16.200,,,
40.100,32.000,24.100,15.600,11.000,,,
49.400,38.100,26.100,17.700,17.100,,,
,29.400,25.100,22.000,17.900,,,
65.100,54.600,45.900,34.500,25.300,,,
,27.900,20.100,,11.700,,,
35.700,26.500,22.000,11.000,9.400,,,
43.200,36.800,28.700,15.600,13.400,,,
42.900,33.300,24.100,15.700,11.300,,,
45.100,38.200,31.100,20.800,13.500,,,
51.700,37.600,25.000,18.600,14.400,,,
,27.900,20.100,,11.700,,,
46.200,36.800,30.500,22.300,18.000,,,
47.500,37.000,25.600,16.400,15.600,,,
35.900,30.400,23.400,22.000,16.300,,,
36.700,30.300,23.300,15.400,9.200,,,
61.800,47.800,35.500,21.900,15.700,,,
,26.300,20.700,,8.900,,,
,27.000,20.500,,9.300,,,
58.900,42.300,32.000,24.600,18.100,,,
43.200,36.300,29.800,23.600,16.900,,,
45.000,37.900,31.100,20.700,13.400,,,
41.900,32.900,24.600,17.200,8.700,,,
46.500,35.800,24.000,16.500,12.100,,,
37.800,29.200,24.800,14.700,12.200,,,
39.300,32.100,24.600,16.000,9.600,,,
47.700,38.700,28.800,17.600,15.000,,,
59.200,40.600,27.800,21.000,15.800,,,
33.500,29.500,22.700,21.900,15.700,,,
40.600,35.200,29.800,20.300,,,,
53.500,45.500,35.400,21.700,18.700,,,
64.100,50.500,40.100,33.100,22.900,,,
47.700,38.700,28.800,17.600,15.000,,,
36.800,34.100,28.100,15.300,13.000,,,
34.600,27.700,21.500,13.500,9.800,,,
