A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
59.500,47.800,36.400,25.300,17.500,6.600,
,27.000,20.400,14.400,7.200,4.400,
55.900,43.700,32.900,22.400,11.000,7.100,
,36.400,28.000,19.900,9.500,5.600,
80.500,68.200,57.600,43.100,29.000,14.300,
,37.900,32.200,28.100,22.700,12.300,
,39.400,33.500,25.900,23.000,7.100,
89.400,67.400,49.100,34.900,29.500,12.300,
,50.500,36.400,33.200,23.600,12.300,
78.900,66.900,52.000,31.700,26.400,11.500,
,43.600,37.000,30.500,24.600,8.700,
112.200,89.800,69.600,43.800,29.000,11.400,
104.500,79.000,59.600,48.400,30.200,13.000,
68.800,51.100,41.100,27.300,17.500,6.600,
89.200,70.400,57.800,39.600,30.400,12.800,
45.000,33.000,24.500,17.000,8.800,3.600,
45.200,30.400,21.300,12.100,6.900,3.100,
77.600,63.100,50.200,34.600,23.400,12.400,
93.400,73.000,57.400,40.600,28.300,15.000,
76.100,54.700,42.400,27.300,18.300,8.100,
88.800,68.500,54.600,,26.000,12.900,
97.800,75.900,57.500,43.300,29.500,14.400,
59.600,45.900,34.800,23.400,11.300,6.900,
81.900,68.400,54.100,,26.100,12.500,
61.700,49.000,37.500,23.900,17.500,6.500,
99.100,76.000,57.600,36.600,25.200,12.800,
89.200,70.400,57.800,39.600,28.000,12.800,
81.400,62.600,51.300,36.900,,10.500,
60.600,46.100,35.500,23.300,11.300,6.900,
65.300,48.300,37.100,23.400,17.500,6.500,
87.200,74.100,62.700,46.900,31.500,15.500,
70.400,57.000,45.800,28.800,21.900,11.000,
102.500,80.300,61.900,40.000,26.100,10.400,
109.700,87.800,67.200,42.800,28.900,11.100,
83.100,70.300,54.600,33.800,28.500,12.000,
,32.700,23.900,12.900,8.900,3.500,
100.100,85.600,72.900,54.500,36.600,18.100,
112.200,89.800,67.700,43.800,30.000,11.400,
77.500,61.000,38.400,29.800,22.300,11.000,
98.100,74.200,52.300,41.500,23.300,11.300,
,33.600,25.900,15.600,8.700,5.500,
102.500,80.300,61.900,40.000,26.100,10.400,
74.700,60.600,48.100,33.600,22.600,12.000,
