Diamante do Sul,Unnamed: 0,58.500,45.100,32.700,24.500,17.100,6.400
Dois Vizinhos,,117.300,95.900,72.800,47.300,32.400,11.900
Douradina,,,42.900,34.700,30.700,26.100,12.300
Doutor Camargo,123.400,101.300,79.500,65.400,43.900,31.800,12.900
Doutor Ulysses,,,26.600,19.700,13.500,6.600,4.700
Enéas Marques,,104.900,84.000,63.300,41.400,28.500,10.600
Engenheiro Beltrão,120.900,96.400,82.300,70.100,52.400,35.200,17.400
Entre Rios do Oeste,113.600,95.500,72.600,55.800,33.900,23.900,12.800
Esperança Nova,,,50.500,40.600,34.900,27.800,12.300
Espigão Alto do Iguaçu,,64.400,49.800,37.300,26.300,18.600,7.000
Farol,119.200,95.000,81.200,69.100,51.600,34.700,17.100
Faxinal,104.800,87.200,77.000,58.000,38.600,28.800,13.500
Fazenda Rio Grande,,57.200,42.000,32.300,21.700,10.500,6.400
Fênix,110.800,88.300,75.200,64.000,47.800,32.200,15.900
Fernandes Pinheiro,,54.100,44.000,36.500,20.500,13.100,6.300
Figueira,,,45.200,36.700,27.800,21.300,7.600
Flor da Serra do Sul,,111.000,88.900,68.900,44.300,30.200,11.200
Floraí,105.500,82.600,64.800,52.900,37.800,,10.800
Floresta,128.800,105.700,86.700,74.300,54.300,38.500,14.800
Florestópolis,80.300,70.400,59.700,46.900,25.800,21.700,10.300
Flórida,,80.000,62.100,50.700,36.600,,10.500
Formosa do Oeste,112.400,95.500,72.600,55.000,33.900,23.900,12.800
Foz do Iguaçu,157.800,125.600,108.900,75.700,,,14.500
Foz do jordão,,69.500,48.200,28.900,16.900,12.300,5.400
Francisco Alves,110.200,89.400,59.000,49.100,34.900,27.800,12.300
Francisco Beltrão,,112.200,90.800,68.700,45.700,30.500,11.400
General Carneiro,,,31.000,23.100,12.000,7.600,3.600
Godoy Moreira,,76.300,64.900,54.500,,25.200,12.500
Goioerê,106.300,98.100,76.800,58.200,43.700,29.600,14.500
Goioxim,,67.900,47.400,29.500,17.600,12.300,5.400
Grandes Rios,,76.400,64.500,54.400,,25.200,12.500
Guaíra,113.400,93.800,75.100,54.300,33.200,23.800,12.700
Guairaçá,,,35.300,32.800,25.900,23.900,7.100
Guamiranga,,56.700,45.900,33.600,22.500,11.800,6.300
Guapirama,,,46.000,35.100,22.500,17.300,7.600
Guaporema,,,43.600,37.000,30.500,24.600,8.700
Guaraci,,,50.700,40.500,31.900,25.700,10.100
Guaraniaçu,,66.300,52.800,41.000,30.200,19.800,7.400
Guarapuava,,80.600,55.800,30.700,17.900,12.600,5.700
Guaraqueçaba,,35.100,29.000,18.700,13.000,5.500,3.300
Guaratuba,,48.700,39.000,31.500,22.500,10.500,3.500
Honório Serpa,,98.000,81.900,66.100,33.300,21.200,9.900
Ibaiti,,,47.600,37.700,29.800,22.800,8.600
Ibema,131.400,103.500,77.900,58.300,45.800,27.400,13.800
Ibiporã,101.500,84.800,72.000,56.200,38.500,32.300,12.400
Icaraíma,,,42.900,35.600,29.800,25.200,12.300
Iguaraçu,109.600,89.200,70.400,57.800,39.600,28.000,12.800
Iguatu,,101.800,76.900,57.600,43.200,27.000,12.900
Imbaú,,,48.700,41.800,26.900,18.000,7.700
Imbituva,,64.000,50.400,38.400,24.500,13.300,7.300
Inácio Martins,,55.700,45.000,30.600,18.200,9.900,5.600
Inajá,,,40.900,34.400,26.500,24.000,7.300
Indianópolis,,,48.900,40.600,34.900,25.200,10.200
Ipiranga,,76.100,55.100,42.800,27.700,18.700,8.600
