A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
138.600,112.200,86.200,53.800,37.100,14.100,
138.900,107.500,90.700,59.900,43.300,18.000,
,54.800,49.600,45.400,35.300,15.800,
101.200,74.200,62.400,43.700,33.500,13.500,
133.900,106.400,75.700,41.800,31.600,17.400,
84.100,62.100,46.500,31.500,17.700,7.800,
116.600,79.500,65.700,51.400,40.200,16.000,
67.900,48.600,30.200,19.700,12.300,4.700,
146.200,114.300,86.300,62.600,38.400,20.400,
137.700,107.400,76.900,48.500,32.500,17.800,
107.900,87.400,76.400,50.800,44.900,22.200,
,70.400,58.400,46.200,36.400,11.600,
106.200,76.600,63.000,51.200,39.000,12.200,
114.900,85.000,70.400,55.800,41.600,15.900,
,72.800,58.500,48.700,36.000,10.500,
147.000,117.400,99.100,72.800,51.900,19.500,
112.500,92.000,79.500,38.000,27.200,11.500,
,82.700,63.900,35.300,23.000,7.900,
157.100,122.600,92.500,,,22.000,
117.000,98.700,84.200,69.000,55.500,14.800,
128.300,107.400,92.000,69.400,50.600,20.200,
,68.100,52.500,38.700,26.900,13.800,
112.500,92.000,79.500,38.000,27.200,11.500,
110.000,89.200,74.000,57.100,41.500,16.800,
98.100,63.700,52.800,41.200,32.100,10.300,
,70.400,60.900,49.700,38.700,14.900,
,54.800,49.600,45.400,35.300,15.800,
99.700,71.700,53.800,24.000,13.500,8.000,
,84.100,64.900,36.000,23.800,8.300,
120.500,97.600,76.900,56.100,39.500,16.900,
,67.000,55.600,44.000,34.600,11.100,
134.200,106.300,76.200,45.400,33.300,17.700,
115.800,82.900,64.100,35.500,23.500,8.500,
72.100,53.000,40.400,28.600,16.400,7.600,
143.200,108.300,83.400,48.500,35.300,17.800,
,67.700,50.700,39.600,30.200,14.800,
124.500,97.100,72.900,52.200,31.900,17.000,
,37.700,29.000,19.400,12.300,5.200,
98.900,73.000,62.100,51.400,38.700,14.900,
143.200,108.300,83.400,48.500,35.300,17.800,
81.700,54.700,34.900,20.100,13.100,5.300,
136.400,110.700,87.200,63.600,44.800,19.100,
,54.800,49.600,45.400,35.300,15.800,
