A- I,A- II,A- III,A- IV,B- VI,B- VII,C- VIII
71.000,48.800,35.700,22.300,12.400,5.200,
75.300,54.900,38.300,22.300,12.400,6.100,
111.800,90.800,71.600,52.300,36.800,15.700,
,70.100,55.400,45.300,35.200,15.700,
,57.200,49.400,45.300,35.200,15.700,
125.500,102.300,80.700,49.000,33.200,13.900,
75.500,55.200,41.900,29.300,17.000,7.700,
124.100,97.300,77.300,47.200,31.200,12.600,
,69.100,52.100,40.300,30.600,14.700,
87.900,62.200,35.300,23.000,15.900,6.400,
106.100,79.300,57.300,35.900,23.200,8.400,
67.800,50.700,40.900,29.700,17.000,7.200,
94.000,74.200,45.500,35.000,25.400,9.900,
110.700,89.800,74.600,60.200,43.800,17.800,
,68.700,57.000,45.200,35.500,11.700,
124.600,100.900,78.700,49.300,33.700,12.700,
106.700,76.800,56.000,35.900,23.700,9.600,
,46.300,36.700,25.400,16.100,4.800,
102.000,81.200,70.200,56.100,41.000,17.000,
103.400,87.500,73.900,32.200,21.200,8.700,
110.700,95.400,80.700,36.000,28.100,8.200,
,68.700,57.000,45.200,35.500,11.700,
,49.700,33.100,18.900,11.100,4.800,
110.700,89.800,74.600,60.200,43.800,17.800,
134.600,112.500,90.900,53.800,37.400,16.000,
104.700,77.200,63.300,46.800,,11.500,
115.000,94.200,78.900,62.700,45.900,18.600,
76.000,51.100,33.500,20.700,13.200,5.200,
113.300,92.000,72.500,52.900,37.300,15.900,
,69.500,53.700,39.500,28.700,14.400,
67.800,50.700,40.900,29.700,17.000,7.200,
131.900,98.900,76.600,47.300,34.400,17.000,
103.700,83.800,72.000,37.100,25.800,7.600,
,67.600,54.100,42.800,33.600,11.100,
112.600,91.400,72.000,52.600,37.100,15.800,
75.900,55.400,42.200,29.300,16.900,7.700,
111.400,87.000,65.300,48.300,29.300,15.700,
116.700,97.400,82.500,66.800,53.300,15.100,
113.300,92.000,72.500,52.900,37.300,15.900,
128.400,106.200,83.900,51.300,35.100,15.300,
81.700,62.100,48.900,24.200,14.900,9.700,
134.600,112.500,90.900,53.800,37.400,16.000,
,78.500,56.700,35.800,23.100,8.100,
