Lupionópolis,Roxa,Mecanizada,2.100,1.860,2.272,3.306,3.925,5.370,12.400,10.300,8.000
Mecanizável,-,-,-,3.100,3.720,4.960,12.400,10.300,8.000,,
Não Mecanizável,-,-,-,-,-,-,-,,,,
Inaproveitáveis,-,-,-,-,-,-,-,,,,
,,,,,,,,,,,
Mista,Mecanizada,1.900,1.860,1.859,2.893,3.434,5.400,9.000,6.200,6.200,
Mecanizável,-,-,-,2.480,2.975,4.200,9.000,6.200,6.200,,
Não Mecanizável,-,-,-,-,-,-,-,,,,
Inaproveitáveis,-,-,-,-,-,-,-,,3.500,,
,,,,,,,,,,,
Arenosa,Mecanizada,1.450,1.653,1.652,2.273,3.305,4.960,8.300,5.400,5.400,
Mecanizável,-,-,-,1.653,3.305,4.200,8.300,5.400,5.400,,
Não Mecanizável,-,-,-,-,-,-,-,,,,
Inaproveitáveis,-,-,-,-,-,-,-,,,,
