Munhoz de Melo,Roxa,Mecanizada,2.600,2.400,3.500,4.200,5.800,9.500,12.500,10.800,9.000
Mecanizável,-,-,-,-,-,-,-,,,,
Não Mecanizável,1.000,1.000,1.500,1.800,2.300,2.600,4.400,3.800,3.150,,
Inaproveitáveis,-,-,1.050,1.300,580,950,1.250,1.080,900,,
,,,,,,,,,,,
Mista,Mecanizada,2.050,2.000,2.450,3.000,5.100,8.500,11.600,9.800,8.000,
Mecanizável,-,-,-,-,-,-,-,,,,
Não Mecanizável,1.000,1.000,1.200,1.500,2.350,2.700,4.000,3.450,2.800,,
Inaproveitáveis,-,-,850,1.050,470,850,1.160,980,800,,
,,,,,,,,,,,
Arenosa,Mecanizada,1.750,1.600,1.850,2.300,3.800,6.200,9.000,7.600,6.600,
Mecanizável,-,-,-,-,-,-,-,,,,
Não Mecanizável,1.000,1.000,1.000,1.200,1.900,2.400,4.000,3.450,2.300,,
Inaproveitáveis,-,-,700,900,380,620,900,760,660,,
