Porecatu,Roxa,Mecanizada,2.100,2.479,2.272,3.306,4.133,5.790,14.500,12.400,10.300
Mecanizável,-,-,-,3.100,3.720,4.960,13.650,11.500,8.200,,
Não Mecanizável,1.258,1.240,1.859,2.100,2.686,3.720,7.500,6.200,5.160,,
Inaproveitáveis,1.258,1.240,-,-,-,-,-,,3.600,,
,,,,,,,,,,,
Mista,Mecanizada,1.900,1.860,1.859,3.100,3.720,6.200,11.400,7.500,8.200,
Mecanizável,-,-,-,2.686,3.162,5.800,11.400,7.500,6.600,,
Não Mecanizável,-,-,-,-,-,-,-,,,,
Inaproveitáveis,-,-,-,-,-,-,-,,,,
,,,,,,,,,,,
Arenosa,Mecanizada,2.000,1.653,1.652,2.273,3.512,5.370,9.000,5.400,6.200,
Mecanizável,-,-,-,1.653,3.512,4.500,8.300,5.400,5.000,,
Não Mecanizável,-,-,-,1.240,2.680,3.500,6.000,3.900,3.100,,
Inaproveitáveis,-,-,-,1.033,2.100,2.900,4.000,3.900,2.170,,
