"São Manoel doParaná",Roxa,Mecanizada,2.800,3.000,3.100,3.500,4.950,8.500,10.000,10.300,9.500
,Mecanizável,2.000,2.000,2.480,2.800,4.540,8.000,9.000,9.500,8.200,
,Não Mecanizável,-,-,-,-,-,-,-,,,
,Inaproveitáveis,1.150,1.300,-,-,-,-,-,,,
,,,,,,,,,,,
Mista,Mecanizada,2.000,2.000,2.300,2.800,4.130,7.000,9.000,9.500,7.500,
,Mecanizável,1.500,1.500,1.800,2.000,3.720,6.500,8.000,8.300,6.500,
,Não Mecanizável,-,-,-,-,-,-,-,,,
,Inaproveitáveis,1.150,1.200,-,-,-,-,-,,,
,,,,,,,,,,,
Arenosa,Mecanizada,1.600,1.600,1.860,2.300,3.300,5.400,8.000,7.400,6.200,
Mecanizável,1.300,1.300,1.450,1.800,2.890,5.000,7.000,6.600,5.000,,
Não Mecanizável,-,-,-,-,-,-,-,,,,
Inaproveitáveis,1.000,1.000,-,-,-,-,-,,,,
