Unnamed: 0,Unnamed: 1,Mecanizada,3.500,3.300,3.795,4.098,5.942,10.143,12.938,10.621,11.868
,,Mecanizável,2.650,2.500,2.875,3.105,4.657,7.957,9.057,8.331,8.545
,Mista,,,,,,,,,,
,,Não Mecanizável,2.200,1.400,1.540,1.663,2.661,4.535,4.528,3.273,3.397
,,Inaproveitáveis,1.250,800,300,324,535,948,906,1.062,1.187
Farol,,,,,,,,,,,
,,Mecanizada,2.280,1.900,2.000,2.160,3.672,6.243,11.121,9.268,9.496
,,Mecanizável,1.940,1.300,1.500,1.620,2.754,4.682,7.915,6.967,7.149
,Roxa,,,,,,,,,,
,,Não Mecanizável,1.600,1.000,1.050,1.134,1.928,3.278,4.353,2.975,3.397
,,Inaproveitáveis,1.250,500,180,195,330,562,905,927,950
